id	unit	kind	pos	cefr	cefr_source	zipf
w:acutely|adv	acutely	word	adv	C1	cefrj	2.53
w:ad|noun	ad	word	noun	B1	cefrj	4.19
w:ad_lib|adj	ad lib	word	adj	C2	cefrj	0.00
w:ad_lib|verb	ad-lib	word	verb	C2	cefrj	0.00
w:adapt|verb	adapt	word	verb	B1	cefrj	3.60
w:adaptable|adj	adaptable	word	adj	B2	cefrj	2.73
w:add|verb	add	word	verb	A1	cefrj	4.57
w:addict|noun	addict	word	noun	B2	cefrj	3.83
w:addicted|adj	addicted	word	adj	B2	cefrj	3.67
w:addiction|noun	addiction	word	noun	B2	cefrj	3.70
w:addition|noun	addition	word	noun	A2	cefrj	3.98
w:additional|adj	additional	word	adj	A2	cefrj	3.81
w:additionally|adv	additionally	word	adv	B2	cefrj	2.58
w:additive|adj	additive	word	adj	C2	cefrj	2.39
w:additive|noun	additive	word	noun	C2	cefrj	2.39
w:address|noun	address	word	noun	A1	cefrj	4.80
w:address|verb	address	word	verb	B1	cefrj	4.80
w:addressee|noun	addressee	word	noun	B1	cefrj	0.00
w:adept|adj	adept	word	adj	C2	cefrj	2.82
w:adept|noun	adept	word	noun	C2	cefrj	2.82
w:adequate|adj	adequate	word	adj	B2	cefrj	3.36
w:adequately|adv	adequately	word	adv	B2	cefrj	2.78
w:adhere|verb	adhere	word	verb	C2	cefrj	2.91
w:adhesion|noun	adhesion	word	noun	C2	cefrj	0.00
w:adjective|noun	adjective	word	noun	A2	cefrj	2.72
w:adjoin|verb	adjoin	word	verb	C1	cefrj	0.00
w:adjoining|adj	adjoining	word	adj	C1	cefrj	2.88
w:adjust|verb	adjust	word	verb	A2	cefrj	3.81
w:adjustable|adj	adjustable	word	adj	C1	cefrj	2.57
w:adjustment|noun	adjustment	word	noun	B2	cefrj	3.37
w:administration|noun	administration	word	noun	B1	cefrj	3.91
w:administrative|adj	administrative	word	adj	B2	cefrj	3.32
w:admirable|adj	admirable	word	adj	B2	cefrj	3.47
w:admiration|noun	admiration	word	noun	B1	cefrj	3.39
w:admire|verb	admire	word	verb	A2	cefrj	4.11
w:admiringly|adv	admiringly	word	adv	B2	cefrj	0.00
w:admission|noun	admission	word	noun	B1	cefrj	3.63
w:admit|verb	admit	word	verb	A2	cefrj	4.76
w:admittedly|adv	admittedly	word	adv	B2	cefrj	3.02
w:adopt|verb	adopt	word	verb	B1	cefrj	3.79
w:adopted|adj	adopted	word	adj	B2	cefrj	4.00
w:adoption|noun	adoption	word	noun	B2	cefrj	3.74
w:adorable|adj	adorable	word	adj	B1	cefrj	4.03
w:adore|verb	adore	word	verb	B2	cefrj	3.82
w:adorn|verb	adorn	word	verb	B2	cefrj	2.87
w:adornment|noun	adornment	word	noun	C2	cefrj	0.00
w:adrenaline|noun	adrenaline	word	noun	C1	cefrj	3.58
w:adult|adj	adult	word	adj	A2	cefrj	4.29
w:adult|noun	adult	word	noun	A2	cefrj	4.29
w:adulterate|verb	adulterate	word	verb	C2	cefrj	0.00
w:advance|noun	advance	word	noun	B2	cefrj	4.32
w:advance|verb	advance	word	verb	B1	cefrj	4.32
w:advanced|adj	advanced	word	adj	A2	cefrj	4.08
w:advancement|noun	advancement	word	noun	B2	cefrj	3.07
w:advantage|noun	advantage	word	noun	A2	cefrj	4.46
w:advantageous|adj	advantageous	word	adj	C1	cefrj	2.70
w:advent|noun	advent	word	noun	B2	cefrj	2.81
w:adventure|noun	adventure	word	noun	A2	cefrj	4.21
w:adventurous|adj	adventurous	word	adj	B2	cefrj	3.29
w:adverb|noun	adverb	word	noun	B1	cefrj	0.00
w:adverbial|adj	adverbial	word	adj	B1	cefrj	0.00
w:adversary|noun	adversary	word	noun	C1	cefrj	3.16
w:adverse|adj	adverse	word	adj	B2	cefrj	2.96
w:adversely|adv	adversely	word	adv	B2	cefrj	0.00
w:adversity|noun	adversity	word	noun	B2	cefrj	3.07
w:advert|noun	advert	word	noun	B1	cefrj	2.98
w:advertise|verb	advertise	word	verb	B1	cefrj	3.29
w:advertisement|noun	advertisement	word	noun	A2	cefrj	3.37
w:advertising|noun	advertising	word	noun	A2	cefrj	3.87
w:advice|noun	advice	word	noun	A2	cefrj	4.68
w:advise|verb	advise	word	verb	A2	cefrj	4.03
w:adviser|noun	adviser	word	noun	B1	cefrj	3.28
w:advisor|noun	advisor	word	noun	B1	cefrj	3.65
w:advisory|adj	advisory	word	adj	C1	cefrj	2.91
w:aerobics|noun	aerobics	word	noun	B1	cefrj	2.98
w:aeroplane|noun	aeroplane	word	noun	A1	cefrj	3.17
w:aesthetic|adj	aesthetic	word	adj	C1	cefrj	3.14
w:aesthetically|adv	aesthetically	word	adv	C1	cefrj	2.46
w:affair|noun	affair	word	noun	A2	cefrj	4.48
w:affect|verb	affect	word	verb	B1	cefrj	4.09
w:affectation|noun	affectation	word	noun	C2	cefrj	0.00
